OBJECTID,FID_hatches_Dissolve,FID_B市辖区村级行政边界,ZLDWMC
1,77,-1,
2,99,-1,
3,100,-1,
4,101,-1,
5,114,-1,
6,115,-1,
7,131,-1,
8,163,-1,
9,247,-1,
10,463,-1,
11,610,-1,
12,738,-1,
13,847,-1,
14,1308,-1,
15,1633,-1,
16,1670,-1,
17,1683,-1,
18,1710,-1,
19,1724,-1,
20,1726,-1,
21,1766,-1,
22,1767,-1,
23,1768,-1,
24,1769,-1,
25,1778,-1,
26,1779,-1,
27,1785,-1,
28,1786,-1,
29,1800,-1,
30,1801,-1,
31,1802,-1,
32,1803,-1,
33,1810,-1,
34,1813,-1,
35,1885,-1,
36,2,362,东岭村
37,3,361,西岭村
38,3,362,东岭村
39,3,364,旧县村
40,4,362,东岭村
41,5,332,临西村
42,5,362,东岭村
43,6,332,临西村
44,6,362,东岭村
45,7,361,西岭村
46,7,362,东岭村
47,7,364,旧县村
48,8,332,临西村
49,8,335,临东村
50,9,332,临西村
51,9,335,临东村
52,9,336,鹿渚村
53,10,362,东岭村
54,11,362,东岭村
55,12,332,临西村
56,12,362,东岭村
57,13,332,临西村
58,13,362,东岭村
59,14,335,临东村
60,15,361,西岭村
61,15,362,东岭村
62,16,332,临西村
63,17,345,良丰村
64,17,362,东岭村
65,18,335,临东村
66,19,332,临西村
67,19,345,良丰村
68,19,362,东岭村
69,20,361,西岭村
70,20,362,东岭村
71,20,364,旧县村
72,21,361,西岭村
73,21,362,东岭村
74,22,345,良丰村
75,22,362,东岭村
76,23,346,厚高村
77,23,361,西岭村
78,23,364,旧县村
79,24,332,临西村
80,24,335,临东村
81,25,346,厚高村
82,25,360,湖光岩农场
83,25,364,旧县村
84,26,345,良丰村
85,26,362,东岭村
86,27,345,良丰村
87,27,362,东岭村
88,28,332,临西村
89,28,345,良丰村
90,28,362,东岭村
91,29,332,临西村
92,30,332,临西村
93,30,335,临东村
94,31,332,临西村
95,32,345,良丰村
96,33,345,良丰村
97,33,362,东岭村
98,34,345,良丰村
99,34,362,东岭村
100,35,345,良丰村
101,35,346,厚高村
102,35,361,西岭村
103,35,362,东岭村
104,36,335,临东村
105,36,336,鹿渚村
106,37,332,临西村
107,38,121,北月村
108,38,335,临东村
109,38,336,鹿渚村
110,39,364,旧县村
111,40,345,良丰村
112,41,346,厚高村
113,41,361,西岭村
114,41,364,旧县村
115,42,332,临西村
116,42,335,临东村
117,43,345,良丰村
118,43,346,厚高村
119,43,347,外坡村
120,44,335,临东村
121,44,336,鹿渚村
122,45,345,良丰村
123,46,345,良丰村
124,47,119,调罗村
125,47,121,北月村
126,48,332,临西村
127,48,345,良丰村
128,49,121,北月村
129,49,335,临东村
130,49,336,鹿渚村
131,50,346,厚高村
132,50,347,外坡村
133,50,364,旧县村
134,51,332,临西村
135,52,119,调罗村
136,53,119,调罗村
137,53,121,北月村
138,54,120,宝满村
139,55,121,北月村
140,55,336,鹿渚村
141,56,119,调罗村
142,57,344,群井村
143,57,345,良丰村
144,57,348,月岭村
145,58,345,良丰村
146,58,346,厚高村
147,58,347,外坡村
148,58,348,月岭村
149,59,332,临西村
150,59,333,客路村
151,59,335,临东村
152,59,336,鹿渚村
153,60,348,月岭村
154,61,119,调罗村
155,61,120,宝满村
156,62,119,调罗村
157,63,348,月岭村
158,64,348,月岭村
159,65,344,群井村
160,65,345,良丰村
161,65,348,月岭村
162,66,350,云脚村
163,66,411,园坡村
164,66,412,畅侃村
165,67,119,调罗村
166,67,121,北月村
167,68,121,北月村
168,68,333,客路村
169,68,335,临东村
170,68,336,鹿渚村
171,69,120,宝满村
172,70,411,园坡村
173,70,412,畅侃村
174,71,350,云脚村
175,71,412,畅侃村
176,72,117,仙塘村
177,72,119,调罗村
178,72,120,宝满村
179,73,411,园坡村
180,74,411,园坡村
181,74,412,畅侃村
182,75,350,云脚村
183,75,411,园坡村
184,75,412,畅侃村
185,76,119,调罗村
186,76,120,宝满村
187,76,121,北月村
188,77,412,畅侃村
189,78,117,仙塘村
190,78,120,宝满村
191,79,411,园坡村
192,79,412,畅侃村
193,80,411,园坡村
194,80,412,畅侃村
195,81,411,园坡村
196,81,412,畅侃村
197,82,347,外坡村
198,82,348,月岭村
199,82,364,旧县村
200,83,117,仙塘村
201,83,120,宝满村
202,84,411,园坡村
203,84,412,畅侃村
204,85,411,园坡村
205,85,412,畅侃村
206,86,117,仙塘村
207,86,120,宝满村
208,87,412,畅侃村
209,88,411,园坡村
210,88,412,畅侃村
211,89,412,畅侃村
212,90,332,临西村
213,90,337,祝美村
214,90,344,群井村
215,90,345,良丰村
216,90,348,月岭村
217,91,411,园坡村
218,91,412,畅侃村
219,92,347,外坡村
220,92,348,月岭村
221,93,119,调罗村
222,93,120,宝满村
223,93,121,北月村
224,94,347,外坡村
225,94,412,畅侃村
226,95,347,外坡村
227,95,348,月岭村
228,96,411,园坡村
229,96,412,畅侃村
230,97,120,宝满村
231,97,122,石头村
232,98,412,畅侃村
233,99,412,畅侃村
234,100,412,畅侃村
235,101,412,畅侃村
236,102,120,宝满村
237,103,412,畅侃村
238,104,347,外坡村
239,104,348,月岭村
240,105,412,畅侃村
241,106,412,畅侃村
242,107,347,外坡村
243,107,412,畅侃村
244,108,120,宝满村
245,109,347,外坡村
246,110,122,石头村
247,111,347,外坡村
248,112,412,畅侃村
249,113,120,宝满村
250,113,122,石头村
251,113,123,百儒村
252,114,412,畅侃村
253,115,412,畅侃村
254,116,347,外坡村
255,116,412,畅侃村
256,117,347,外坡村
257,117,412,畅侃村
258,118,412,畅侃村
259,119,412,畅侃村
260,120,347,外坡村
261,120,412,畅侃村
262,121,412,畅侃村
